long,lat,gbd_path_type,gbd_total_time,gbd_transfer_count,gbd_total_distance,gbd_total_walk_distance,gbd_total_fare,cbd_m,gbd_m,ybd_m,north_hangang,district,address,jibun,station,station_m,univ,univ_m,road_m,scale,junse,month,date,guarantee,rent_month,build,new_address,term,contract1,contract2,contract3,contract3
127.0507288,37.4725431,2,1923,0,4789,777,1500,12828.41316,3512.102451,12193.04503,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1118,총신대학교,7628,8m미만,27,0,202304,8,500,55,1995,논현로6길,202304~202504,신규,-,0,0
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,8m미만,27,1,202302,10,"5,000",0,1994,개포로17길,-,-,-, , 
127.047226,37.4759299,3,1594,1,4124,605,1500,12382.80192,3119.984608,11710.07765,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1009,총신대학교,7245,12m미만,27.11,0,202302,15,500,42,1997,논현로16길,202303~202503,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,28,0,202303,4,"1,000",55,1995,개포로15길,202303~202403,신규,-,0,0
127.0510705,37.4791965,3,1090,1,3475,368,1500,12536.67771,2781.86,11591.50394,0,se,서울특별시 강남구 개포동,1***,매봉역,941,건국대학교,7272,8m미만,28,0,202308,17,"4,000",50,1997,개포로36길,202308~202508,갱신,-,"4,000",20
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,12m미만,28,0,202302,22,"1,000",50,1993,개포로17길,202303~202503,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,12m미만,28,0,202301,26,600,62,1993,개포로15길,202301~202501,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,12m미만,29.36,0,202302,15,"1,000",78,1993,개포로15길,202302~202502,신규,-,0,0
127.0486578,37.4745157,3,1587,1,4784,481,1500,12566.05644,3280.494072,11910.26038,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1026,총신대학교,7401,8m미만,29.39,0,202310,26,"1,000",40,1997,논현로12길,202311~202511,신규,-,0,0
127.0486578,37.4745157,3,1587,1,4784,481,1500,12566.05644,3280.494072,11910.26038,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1026,총신대학교,7401,8m미만,29.39,0,202301,27,"1,500",37,1997,논현로12길,202302~202501,갱신,사용,"1,500",35
127.0493388,37.4737174,2,2063,0,4960,981,1500,12659.70756,3372.313515,12017.31789,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1042,총신대학교,7479,8m미만,29.75,0,202301,3,"15,000",5,1991,논현로8길,202301~202501,신규,-,0,0
127.0599256,37.4837459,1,956,0,2849,792,1400,13069.39139,2529.834143,11651.73584,0,se,서울특별시 강남구 개포동,1**,구룡역,366,건국대학교,6561,8m미만,29.79,0,202309,13,"13,000",80,2022,선릉로16길,202309~202509,신규,-,0,0
127.0456237,37.477475,3,1399,1,4397,393,1500,12180.23055,2950.525723,11489.66135,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1034,총신대학교,7074,8m미만,29.95,0,202310,7,"3,000",45,1990,논현로20길,202310~202510,신규,-,0,0
127.0493388,37.4737174,2,2063,0,4960,981,1500,12659.70756,3372.313515,12017.31789,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1042,총신대학교,7479,12m미만,30,0,202309,1,"3,000",35,1997,논현로8길,202309~202409,갱신,-,"3,000",32
127.0494435,37.4794276,3,1326,1,3669,527,1500,12394.85984,2740.89887,11489.83664,0,se,서울특별시 강남구 개포동,1***,매봉역,867,건국대학교,7297,8m미만,30,0,202310,4,"1,000",50,1994,개포로31길,202310~202510,신규,-,0,0
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,12m미만,30,0,202306,5,"10,500",30,1996,개포로17길,-,갱신,-,"10,500",30
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,30,0,202303,11,"5,000",35,1995,개포로15길,202303~202403,신규,-,0,0
127.0493388,37.4737174,2,2063,0,4960,981,1500,12659.70756,3372.313515,12017.31789,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1042,총신대학교,7479,12m미만,30,0,202309,18,"2,000",70,1997,논현로8길,202311~202511,신규,-,0,0
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,8m미만,30,0,202307,19,"1,000",45,1997,개포로17길,202307~202507,신규,-,0,0
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,8m미만,30,0,202307,19,"1,000",34,1997,개포로17길,202307~202507,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,30,0,202310,19,"4,000",40,2005,개포로15길,202310~202410,신규,-,0,0
127.047226,37.4759299,3,1594,1,4124,605,1500,12382.80192,3119.984608,11710.07765,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1009,총신대학교,7245,12m미만,30,0,202309,21,"1,000",60,1988,논현로16길,202310~202510,신규,-,0,0
127.0468421,37.4791186,3,1362,1,3847,464,1500,12199.71811,2765.953125,11392.63757,0,se,서울특별시 강남구 개포동,1***,매봉역,867,총신대학교,7151,8m미만,30,0,202302,23,"2,000",60,2001,개포로21길,202303~202503,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,30,0,202308,27,"1,000",50,1995,개포로15길,202309~202509,신규,-,0,0
127.0507288,37.4725431,2,1923,0,4789,777,1500,12828.41316,3512.102451,12193.04503,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1118,총신대학교,7628,8m미만,30,1,202305,9,"20,000",0,2000,논현로6길,202305~202405,갱신,-,"20,000",0
127.0479097,37.479248,3,1374,1,3792,480,1500,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,8m미만,30,1,202304,17,"12,500",0,1996,개포로25길,202305~202505,신규,-,0,0
