경도,위도,최근접 지하철,역과 거리(m),시군구,번지,본번,부번,전월세구분,면적(제곱m),계약월,계약일,보증금(만원),월세(만원),총비용,층,건축년도,도로명,계약기간(개월),계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
127.0341426,37.5836396,안암역,524,서울특별시 동대문구 제기동 218-4,218,4,해오름,전세,55.71,202212,20,18420,0,18420,3,2003,약령시로5길 22-4,-,갱신,사용,"6,000",65
127.0341426,37.5836396,안암역,524,서울특별시 동대문구 제기동 218-4,218,4,해오름,월세,43.17,202302,7,9000,34,9816,4,2003,약령시로5길 22-4,24,갱신,-,"9,000",30
127.0370469,37.5849382,고려대역,614,서울특별시 동대문구 제기동 862,862,0,현진타운,전세,29.14,202302,24,22000,0,22000,3,2019,약령중앙로13길 8,-,신규,-,0,0
127.0370469,37.5849382,고려대역,614,서울특별시 동대문구 제기동 862,862,0,현진타운,전세,29.14,202302,24,22000,0,22000,3,2019,약령중앙로13길 8,-,신규,-,0,0
127.0370469,37.5849382,고려대역,614,서울특별시 동대문구 제기동 862,862,0,현진타운,전세,28.19,202305,1,25200,0,25200,3,2019,약령중앙로13길 8,-,-,-, , 
127.0370469,37.5849382,고려대역,614,서울특별시 동대문구 제기동 862,862,0,현진타운,전세,28.19,202307,27,23500,0,23500,2,2019,약령중앙로13길 8,-,갱신,-,"25,200",0
127.0375214,37.5906224,고려대역,110,서울특별시 동대문구 제기동 1147-18,1147,18,호연아트,전세,71.89,202304,5,25200,0,25200,3,2005,회기로4길 13,-,갱신,-,"24,000",0
127.0395957,37.5826366,제기동역,645,서울특별시 동대문구 제기동 842-1,842,1,후암주택,월세,18.68,202307,1,1000,55,1660,4,2017,고산자로44길 15,12,신규,-,0,0
127.0395957,37.5826366,제기동역,645,서울특별시 동대문구 제기동 842-1,842,1,후암주택,월세,17.15,202308,25,500,60,1220,3,2017,고산자로44길 15,12,신규,-,0,0
127.0365709,37.5831223,제기동역,569,서울특별시 동대문구 제기동 892-92,892,92,힐하우스,전세,39.11,202302,16,18000,0,18000,3,2012,약령서길 107,-,신규,-,0,0
127.0365709,37.5831223,제기동역,569,서울특별시 동대문구 제기동 892-92,892,92,힐하우스,전세,65.13,202306,24,27000,0,27000,4,2012,약령서길 107,-,신규,-,0,0
127.0447597,37.5859896,청량리역,672,서울특별시 동대문구 청량리동 427,427,0,(427-0),월세,44.18,202301,6,7000,22,7528,2,1996,홍릉로12길 32-2,24,갱신,사용,"7,000",20
127.0477493,37.5847267,청량리역,450,서울특별시 동대문구 청량리동 53-15,53,15,(53-15),전세,13.33,202211,29,8500,0,8500,4,2012,왕산로47길 57,-,갱신,-,"7,500",0
127.0477493,37.5847267,청량리역,450,서울특별시 동대문구 청량리동 53-15,53,15,(53-15),전세,13.64,202302,8,7870,0,7870,1,2012,왕산로47길 57,-,신규,-,0,0
